Group,Size,GateInfo,Connections
1,3,"{'1030': 'NOT', '1062': 'NOR', '1063': 'NOT'}","[('1030', '1062'), ('1062', '1063')]"
2,1,{'1031': 'NOT'},[]
3,2,"{'1032': 'NOT', '1145': 'NOR'}","[('1032', '1145')]"
4,1,{'1033': 'NOT'},[]
5,2,"{'1034': 'NOT', '1061': 'NOR'}","[('1034', '1061')]"
6,1,{'1035': 'NOT'},[]
7,3,"{'1036': 'NOT', '1091': 'NOR', '1092': 'NOT'}","[('1036', '1091'), ('1091', '1092')]"
8,2,"{'1037': 'NOT', '1048': 'NOR'}","[('1037', '1048')]"
9,1,{'1038': 'NOT'},[]
10,2,"{'1039': 'NOT', '1077': 'NOR'}","[('1039', '1077')]"
11,3,"{'1040': 'NOT', '1122': 'NOT', '1123': 'NOR'}","[('1040', '1123'), ('1122', '1123')]"
12,1,{'1041': 'NOT'},[]
13,1,{'1042': 'NOT'},[]
14,1,{'1043': 'NOT'},[]
15,1,{'1044': 'NOT'},[]
16,1,{'1045': 'NOR'},[]
17,1,{'1046': 'NOT'},[]
18,2,"{'1047': 'NOR', '1066': 'NOR'}","[('1047', '1066')]"
19,1,{'1049': 'NOR'},[]
20,2,"{'1050': 'NOT', '1052': 'NOR'}","[('1050', '1052')]"
21,2,"{'1051': 'NOR', '1053': 'NOR'}","[('1051', '1053')]"
22,2,"{'1054': 'NOR', '1073': 'NOR'}","[('1054', '1073')]"
23,1,{'1055': 'NOR'},[]
24,2,"{'1056': 'NOR', '1057': 'NOT'}","[('1056', '1057')]"
25,1,{'1058': 'NOR'},[]
26,1,{'1059': 'NOT'},[]
27,1,{'1060': 'NOR'},[]
28,1,{'1064': 'NOR'},[]
29,1,{'1065': 'NOT'},[]
30,2,"{'1067': 'NOR', '1068': 'NOT'}","[('1067', '1068')]"
31,1,{'1069': 'NOR'},[]
32,1,{'1070': 'NOR'},[]
33,2,"{'1071': 'NOR', '1072': 'NOT'}","[('1071', '1072')]"
34,2,"{'1074': 'NOT', '1075': 'NOR'}","[('1074', '1075')]"
35,2,"{'1076': 'NOT', '1078': 'NOR'}","[('1076', '1078')]"
36,1,{'1079': 'NOR'},[]
37,1,{'1080': 'NOT'},[]
38,1,{'1081': 'NOR'},[]
39,3,"{'1082': 'NOR', '1083': 'NOR', '1084': 'NOT'}","[('1082', '1083'), ('1083', '1084')]"
40,1,{'1085': 'NOR'},[]
41,2,"{'1086': 'NOT', '1139': 'NOR'}","[('1086', '1139')]"
42,2,"{'1087': 'NOR', '1088': 'NOR'}","[('1087', '1088')]"
43,1,{'1089': 'NOT'},[]
44,2,"{'1090': 'NOR', '1143': 'NOR'}","[('1090', '1143')]"
45,1,{'1093': 'NOR'},[]
46,2,"{'1094': 'NOT', '1135': 'NOR'}","[('1094', '1135')]"
47,2,"{'1095': 'NOR', '1110': 'NOR'}","[('1095', '1110')]"
48,1,{'1096': 'NOR'},[]
49,1,{'1097': 'NOR'},[]
50,1,{'1098': 'NOT'},[]
51,1,{'1099': 'NOR'},[]
52,1,{'1100': 'NOR'},[]
53,1,{'1101': 'NOR'},[]
54,1,{'1102': 'NOR'},[]
55,1,{'1103': 'NOR'},[]
56,1,{'1104': 'NOR'},[]
57,1,{'1105': 'NOT'},[]
58,1,{'1106': 'NOR'},[]
59,1,{'1107': 'NOR'},[]
60,2,"{'1108': 'NOR', '1109': 'NOT'}","[('1108', '1109')]"
61,1,{'1111': 'NOR'},[]
62,1,{'1112': 'NOR'},[]
63,2,"{'1113': 'NOR', '1114': 'NOT'}","[('1113', '1114')]"
64,1,{'1115': 'NOR'},[]
65,1,{'1116': 'NOT'},[]
66,1,{'1117': 'NOR'},[]
67,1,{'1118': 'NOT'},[]
68,1,{'1119': 'NOR'},[]
69,1,{'1120': 'NOR'},[]
70,1,{'1121': 'NOR'},[]
71,2,"{'1124': 'NOR', '1125': 'NOR'}","[('1124', '1125')]"
72,1,{'1126': 'NOT'},[]
73,2,"{'1127': 'NOR', '1131': 'NOR'}","[('1127', '1131')]"
74,1,{'1128': 'NOR'},[]
75,2,"{'1129': 'NOR', '1132': 'NOR'}","[('1129', '1132')]"
76,1,{'1130': 'NOR'},[]
77,1,{'1133': 'NOR'},[]
78,1,{'1134': 'NOR'},[]
79,1,{'1136': 'NOR'},[]
80,1,{'1137': 'NOR'},[]
81,2,"{'1138': 'NOR', '1140': 'NOR'}","[('1138', '1140')]"
82,1,{'1141': 'NOR'},[]
83,1,{'1142': 'NOR'},[]
84,1,{'1144': 'NOT'},[]
85,6,"{'1146': 'NOT', '1154': 'NOT', '1155': 'NOR', '1156': 'NOR', '1157': 'NOR', '1158': 'NOT'}","[('1146', '1155'), ('1156', '1157'), ('1154', '1156'), ('1155', '1157'), ('1157', '1158')]"
86,1,{'1147': 'NOR'},[]
87,1,{'1148': 'NOR'},[]
88,1,{'1149': 'NOR'},[]
89,2,"{'1150': 'NOT', '1151': 'NOR'}","[('1150', '1151')]"
90,1,{'1152': 'NOR'},[]
91,1,{'1153': 'NOR'},[]
92,2,"{'1159': 'NOR', '1160': 'NOR'}","[('1159', '1160')]"
